date,value,memo
2024-03-01,8.2,
2024-03-02,5.3,
2024-03-03,6.7,
2024-03-04,6.6,
2024-03-05,9.4,
2024-03-06,9.3,
2024-03-07,10.5,
2024-03-08,6.7,
2024-03-09,8.5,
2024-03-10,6.7,
2024-03-11,7.8,
2024-03-12,9.5,
2024-03-13,7.3,
2024-03-14,8.3,
2024-03-15,10.7,
2024-03-16,10.4,
2024-03-17,9.0,
2024-03-18,11.0,
2024-03-19,12.3,
2024-03-20,8.5,
2024-03-21,12.7,
2024-03-22,12.3,
2024-03-23,10.7,
2024-03-24,10.0,
2024-03-25,14.2,
2024-03-26,11.3,
2024-03-27,10.3,
2024-03-28,10.5,
2024-03-29,14.5,
2024-03-30,13.5,
2024-03-31,14.7,
2024-04-01,14.5,
2024-04-02,13.7,
2024-04-03,16.1,
2024-04-04,13.4,
2024-04-05,14.4,
2024-04-06,16.0,
2024-04-07,15.2,
2024-04-08,16.6,
2024-04-09,15.4,
2024-04-10,16.2,
2024-04-11,13.1,
2024-04-12,14.3,
2024-04-13,14.8,
2024-04-14,13.9,
2024-04-15,14.9,
2024-04-16,14.4,
2024-04-17,15.5,
2024-04-18,17.5,
2024-04-19,16.4,
2024-04-20,16.6,
2024-04-21,16.0,
2024-04-22,16.5,
2024-04-23,20.0,
2024-04-24,18.8,
2024-04-25,18.8,
2024-04-26,16.8,
2024-04-27,19.8,
2024-04-28,17.2,
2024-04-29,18.4,
2024-04-30,21.7,
2024-05-01,20.1,
2024-05-02,19.9,
2024-05-03,20.7,
2024-05-04,21.7,
2024-05-05,21.6,
2024-05-06,19.0,
2024-05-07,18.2,
2024-05-08,19.8,
2024-05-09,19.8,
2024-05-10,19.7,
2024-05-11,23.5,
2024-05-12,23.3,
2024-05-13,20.7,
2024-05-14,22.6,
2024-05-15,21.4,
2024-05-16,24.2,
2024-05-17,22.1,
2024-05-18,21.3,
2024-05-19,21.4,
2024-05-20,23.1,
2024-05-21,21.8,
2024-05-22,23.5,
2024-05-23,25.2,
2024-05-24,22.9,
2024-05-25,22.1,
2024-05-26,26.2,
2024-05-27,23.9,
2024-05-28,21.9,
2024-05-29,21.8,
2024-05-30,22.3,
2024-05-31,25.0,
2024-06-01,26.0,
2024-06-02,24.2,
2024-06-03,22.6,
2024-06-04,24.3,
2024-06-05,27.5,
2024-06-06,25.2,
2024-06-07,27.6,
2024-06-08,27.1,
2024-06-09,23.0,
2024-06-10,26.6,
2024-06-11,26.5,
2024-06-12,25.9,
2024-06-13,24.6,
2024-06-14,26.6,
2024-06-15,24.0,
2024-06-16,25.7,
2024-06-17,25.9,
2024-06-18,28.5,
2024-06-19,28.2,
2024-06-20,25.2,
2024-06-21,26.4,
2024-06-22,24.9,
2024-06-23,28.6,
2024-06-24,28.4,
2024-06-25,25.6,
2024-06-26,27.4,
2024-06-27,27.3,
2024-06-28,25.0,
2024-06-29,28.1,
2024-06-30,27.0,
2024-07-01,28.3,
2024-07-02,27.1,
2024-07-03,24.4,
2024-07-04,26.1,
2024-07-05,24.6,
2024-07-06,29.1,
2024-07-07,28.9,
2024-07-08,28.7,
2024-07-09,26.0,
2024-07-10,24.8,
2024-07-11,28.9,
2024-07-12,29.2,
2024-07-13,24.9,
2024-07-14,26.9,
2024-07-15,24.8,
2024-07-16,28.2,
2024-07-17,28.2,
2024-07-18,25.0,
2024-07-19,26.7,
2024-07-20,27.0,
2024-07-21,25.6,
2024-07-22,28.6,
2024-07-23,26.3,
2024-07-24,25.2,
2024-07-25,26.8,
2024-07-26,27.7,
2024-07-27,24.9,
2024-07-28,25.4,
2024-07-29,28.8,
2024-07-30,27.0,
2024-07-31,25.9,
2024-08-01,26.2,
2024-08-02,24.1,
2024-08-03,24.6,
2024-08-04,25.0,
2024-08-05,26.2,
2024-08-06,24.3,
2024-08-07,24.2,
2024-08-08,23.3,
2024-08-09,26.0,
2024-08-10,23.9,
2024-08-11,27.2,
2024-08-12,26.8,
2024-08-13,22.8,
2024-08-14,23.5,
2024-08-15,25.5,
2024-08-16,23.1,
2024-08-17,22.6,
2024-08-18,26.5,
2024-08-19,24.5,
2024-08-20,23.9,
2024-08-21,25.3,
2024-08-22,25.3,
2024-08-23,22.1,
2024-08-24,21.5,
2024-08-25,23.0,
2024-08-26,22.8,
2024-08-27,22.9,
2024-08-28,24.0,
2024-08-29,23.6,
2024-08-30,25.0,
2024-08-31,20.4,
2024-09-01,21.7,
2024-09-02,21.2,
2024-09-03,23.7,
2024-09-04,20.5,
2024-09-05,20.0,
2024-09-06,21.1,
2024-09-07,20.8,
2024-09-08,19.9,
2024-09-09,19.6,
2024-09-10,22.8,
2024-09-11,20.2,
2024-09-12,22.1,
2024-09-13,20.4,
2024-09-14,17.7,
2024-09-15,22.2,
2024-09-16,21.2,
